Locality,Site Address,State,Post,Site phone number,Synergy,Pulp,Dsl+,Lpg,24 Hours,C/Wash,Fast Food,T/stop,SynergyE10,Latitude,Longitude
CLEVE,RUDALL ROAD,SA,5640,08 8628 2150,NO,NO,YES,NO,NO,NO,NO,NO,NO,-33.699596,136.482634
ROCKHAMPTON NORTH,76 GLENMORE ROAD,QLD,4701,07 4927 5087,NO,YES,YES,NO,NO,NO,NO,NO,NO,-23.36247358,150.5083391
GOULBURN,129 LAGOON STREET,NSW,2580,02 4821 2740,NO,YES,YES,YES,NO,NO,YES,NO,YES,-34.74520055,149.7334469
HAY SOUTH,STURT HWY & ARCHER STREET,NSW,2711,02-6993 1544,NO,YES,YES,YES,NO,NO,YES,NO,NO,-34.52068633,144.8372792
NOWRA EAST,LOT 3 KALANDAR STREET,NSW,2541,02-4421 6507,NO,YES,YES,YES,YES,NO,NO,NO,YES,-34.88859263,150.6093341
CHARLESTOWN,317A PACIFIC HWY,NSW,2290,02-4942 3178,NO,YES,NO,YES,YES,NO,YES,YES,NO,-30.31457165,153.0932453
BATHURST,CNR BANT & ROCKET ST,NSW,2795,02-6334 3552,NO,NO,NO,NO,NO,NO,YES,YES,YES,-33.43089675,149.5785552
WALCHA,18 DERBY STREET,NSW,2354,02-6777 2226,NO,YES,YES,NO,NO,NO,YES,YES,NO,-33.76253333,150.7173597
BOGGABILLA,NEWELL HWY,NSW,2409,07-4676 2207,NO,NO,YES,NO,NO,NO,NO,NO,NO,-31.74201675,148.6424431
JINDABYNE EAST,LOT 1 KOSCIUSKO ROAD,NSW,2627,02-6456 7112,NO,YES,YES,NO,NO,NO,YES,NO,NO,-36.31527859,148.6134798
QUEANBEYAN,2-12 STEPHENS ROAD,NSW,2620,02-6297 4079,NO,YES,YES,YES,NO,NO,YES,YES,NO,-35.3464405,149.208719
KEMPS CREEK,LOT A ELIZABETH DRIVE,NSW,2171,02-9826 1070,NO,NO,YES,YES,NO,NO,NO,YES,NO,-32.90747877,151.7508405
MITTAGONG,51-59 HUME HWY,NSW,2576,02-4871 1964,NO,YES,YES,NO,NO,YES,NO,NO,NO,-33.88760724,151.0631124
NOWRA NORTH,"Lot 23, ILLAROO ROAD",NSW,2541,02-4421 4268,NO,YES,YES,NO,NO,NO,NO,NO,YES,-34.84334949,150.5036489
GRENFELL,75 CAMP STREET,NSW,2810,02-6343 1389,NO,YES,YES,YES,NO,NO,YES,NO,NO,-33.89547481,148.1630139
BOOROWA,58 MARSDEN STREET,NSW,2586,02-6385 3121,NO,NO,YES,YES,NO,NO,YES,NO,NO,-33.8231652,150.9994154
NOWRA SOUTH,202 PRINCES HWY,NSW,2541,02-4421 6655,NO,NO,YES,NO,NO,NO,NO,NO,NO,-34.40114033,150.8919769
SANDGATE,61 MAITLAND ROAD,NSW,2304,02-4960 2072,NO,YES,YES,YES,YES,NO,YES,YES,YES,-32.87319926,151.7119452
CROOKWELL,CARRINGTON STREET,NSW,2583,02-4832 1425,NO,NO,YES,YES,NO,NO,NO,NO,NO,-31.45826606,152.7399194
COFFS HARBOUR,150-156 PACIFIC HWY,NSW,2450,02 6651 1313,NO,YES,YES,YES,YES,YES,NO,NO,YES,-30.2905782,153.1192232
BOMADERRY,33 BOLONG ROAD,NSW,2541,02 4421 6671,NO,YES,YES,YES,NO,NO,NO,NO,YES,-34.85577712,150.6101237
COOMA,42 SHARP STREET,NSW,2630,02 6452 3550,NO,YES,YES,YES,YES,NO,YES,NO,YES,-36.23276108,149.1318099
ALICE SPRINGS,LARAPINTA DRIVE,NT,870,08-8952 3320,NO,NO,YES,YES,NO,NO,NO,NO,NO,-23.90880934,132.6839316
ALICE SPRINGS,70 SPEARWOOD RD,NT,871,08-8952 1238,NO,NO,YES,NO,NO,NO,NO,NO,NO,-23.70045845,133.8999957
TI TREE WELL,STUART HWY,NT,871,08-8956 9741,NO,NO,YES,YES,NO,NO,YES,YES,NO,-23.698704,133.878243
ALICE SPRINGS,34 NORTH STUART HWY,NT,870,08 8952 6980,NO,YES,YES,YES,NO,NO,YES,NO,NO,-22.130042,133.416016
TENNANT CREEK,LOT 1192 PATERSON STREET,NT,860,08-8962 2855,NO,NO,YES,YES,NO,NO,YES,NO,NO,-19.65397894,134.1879757
ALICE SPRINGS,GHAN ROAD,NT,871,08-8952 6222,NO,YES,YES,NO,NO,NO,NO,YES,NO,-23.69355012,133.8702396
MACKAY,CNR SYDNEY STREET & ALFRED STREET,QLD,4740,07-4951 1314,NO,NO,YES,NO,NO,NO,NO,NO,YES,-22.87021902,147.6015845
TULLY,BRUCE HWY,QLD,4854,07 4068 1351,NO,YES,YES,YES,NO,NO,YES,NO,YES,-22.05788678,149.4916931
CANNONVALE,LOT 2 SHUTE HARBOUR RD,QLD,4802,07-4946 1036,NO,YES,YES,NO,NO,YES,YES,NO,NO,-20.29520048,148.6724523
MIRIWINNI,LOT 2 BRUCE HIGHWAY,QLD,4871,07 4067 6248,NO,YES,YES,NO,NO,NO,YES,NO,NO,-17.11338726,145.8073176
KOAH,"2 KOAH ROAD, KOAH",QLD,4872,07-4093 7887,NO,YES,YES,YES,NO,NO,YES,NO,NO,-16.89520035,145.5686819
EDMONTON,75-77 BRUCE HWY,QLD,4868,07 4055 4142,NO,YES,NO,NO,YES,NO,YES,NO,NO,-17.02367688,145.7458149
MOURILYAN,"26 Bruce Highway, Mourilyn",QLD,4585,07-4063 2888,NO,YES,NO,YES,NO,NO,YES,NO,NO,-17.52198244,146.0111221
MALANDA,CNR MILLAA MILLAA RD & MEMORIAL AV,QLD,4885,07-4096 5072,NO,YES,NO,NO,NO,NO,YES,NO,NO,-17.35945781,145.5954013
MACKAY NORTH,36 EVANS AVENUE,QLD,4740,07-4957 7898,NO,YES,YES,YES,NO,NO,YES,NO,NO,-21.12485526,149.1878529
CLIFTON BEACH,CNR CAPTAIN COOK HWY & ENDEAVOUR,QLD,4879,07-4055 3918,NO,NO,YES,NO,NO,NO,YES,YES,NO,-16.76433573,145.6675725
CAIRNS,138 SPENCE STREET,QLD,4870,07-4051 5483,NO,NO,YES,YES,NO,NO,NO,NO,NO,-16.92966737,145.7696499
EMERALD,74 ROBERT STREET,QLD,4720,07-4982 1624,NO,NO,YES,NO,YES,NO,NO,NO,NO,-27.9528863,153.4023696
ROCKLEA,1628 IPSWICH ROAD,QLD,4106,07-3277 1144,NO,NO,YES,YES,YES,YES,YES,YES,NO,-27.55931369,153.0071787
MORANBAH,CNR BELYANDO & GRIFFIN STREET,QLD,4744,07-4941 7219,NO,NO,YES,NO,NO,NO,NO,NO,NO,-21.99874269,148.0451996
TOWNSVILLE,6 UNIVERSITY ROAD,QLD,4811,07-4778 2480,NO,YES,YES,YES,YES,NO,YES,NO,YES,-19.31853915,146.8122152
INNISFAIL,149 EDITH STREET,QLD,4860,07-4061 4221,NO,YES,YES,NO,YES,NO,NO,NO,NO,-17.52324249,146.0212348
TOLGA,CNR LAWSON STREET & ELIZABETH STREET,QLD,4882,07-4095 4211,NO,NO,YES,NO,NO,NO,NO,YES,NO,-17.21983555,145.4799977
ROCKHAMPTON,217 RICHARDSON ROAD,QLD,4700,07-4928 2611,NO,NO,YES,NO,NO,NO,NO,NO,NO,-23.34814501,150.5099409
PORT DOUGLAS,13 WARNER STREET,QLD,4871,07-4099 4567,NO,YES,YES,YES,YES,NO,YES,NO,NO,-27.45739326,153.0351152
GORDONVALE,67 GEORGE STREET,QLD,4865,07-4056 3077,NO,NO,YES,NO,NO,NO,NO,NO,NO,-23.37735102,150.5037892
COOKTOWN,210 ENDEAVOUR VALLEY ROAD,QLD,4895,074069 6863,NO,YES,YES,NO,NO,NO,NO,NO,YES,-15.47228058,145.2208214
MAREEBA,1 HERBERTON STREET,QLD,4880,07-4092 1373,NO,YES,YES,YES,YES,NO,YES,NO,YES,-16.99899051,145.4232348
ST GEORGE,THALLON ROAD,QLD,4487,07-4625 3046,NO,NO,YES,NO,NO,NO,NO,NO,NO,-28.04580544,148.5985482
BRINSMEAD,LOT 5 BRINSMEAD ROAD,QLD,4870,07 4034 1325,NO,YES,YES,YES,YES,NO,NO,NO,NO,-16.89510852,145.7121398
CAIRNS - NORTH,333 SHERIDAN STREET,QLD,4870,07-4041 0405,NO,YES,YES,YES,YES,NO,NO,NO,YES,-16.90608491,145.7587078
BURRA,26 COMMERCIAL STREET,SA,5417,08-8892 2236,NO,YES,YES,NO,NO,NO,YES,NO,NO,-33.68325138,138.937742
HAWKER,CNR 13 WILPENA ROAD & CRADOCK ROAD,SA,5434,08-8648 4014,NO,YES,YES,YES,NO,NO,NO,NO,NO,-31.88739405,138.422726
KINGSTON,PRINCES HWY,SA,5275,08-8767 2419,NO,NO,YES,YES,NO,NO,NO,YES,NO,-36.02063729,139.5682388
MT GAMBIER,CNR CROUCH & COMMERCIAL STREET,SA,5290,08-8725 4200,NO,YES,YES,YES,NO,NO,NO,NO,NO,-37.8304035,140.7869174
NULLARBOR,EYRE HIGHWAY,SA,5690,08 8625 6271,NO,YES,YES,YES,YES,NO,YES,YES,NO,-32.12599068,133.6737614
WUDINNA,3 BURTON TERRACE,SA,5652,08-8680 2072,NO,YES,YES,NO,NO,NO,NO,NO,NO,-33.04591574,135.4595628
LEIGH CREEK,1 BLACK OAK DRIVE,SA,5731,08-8675 2016,NO,NO,YES,YES,NO,NO,YES,NO,NO,-30.59461862,138.4058885
STIRLING NORTH,47 QUORN ROAD,SA,5710,08-8643 6214,NO,NO,YES,YES,NO,NO,YES,NO,NO,-32.51743857,137.8425704
PORT KENNY,SECT 102 FLINDERS HWY,SA,5671,08-8625 5076,NO,NO,YES,NO,NO,NO,NO,NO,NO,-33.167445,134.684857
OLYMPIC DAM,OLYMPIC WAY NORTH,SA,5725,08-8671 0554,NO,YES,YES,YES,NO,NO,YES,YES,NO,-30.46237813,136.8798257
WUDINNA,64 EYRE HWY,SA,5652,08-8680 2084,NO,YES,YES,YES,NO,NO,YES,NO,NO,-33.0534084,135.4642085
PINNAROO,MALLEE HWY,SA,5304,08-8577 8488,NO,YES,YES,YES,NO,NO,YES,YES,NO,-35.37623579,140.2160754
COFFIN BAY,113 ESPLANADE,SA,5607,08-8685 4057,NO,NO,YES,NO,NO,NO,YES,NO,NO,-34.83424481,138.4819362
BALLARAT,CNR OLD MELB ROAD & SCOTTS PARADE,VIC,3350,03-5332 6030,NO,NO,YES,NO,NO,NO,NO,NO,NO,-37.47130529,144.7851539
ALEXANDRA,10 DOWNEY STREET,VIC,3714,03-5772 1227,NO,NO,YES,YES,NO,NO,YES,YES,NO,-37.19041745,145.7167051
WARRNAMBOOL,589 RAGLAN PARADE,VIC,3280,03 5562 6644,NO,YES,YES,YES,NO,NO,YES,NO,NO,-38.38024985,142.4835837
HAMILTON,122 FRENCH STREET,VIC,3300,03-5572 4999,NO,NO,YES,NO,NO,NO,NO,NO,NO,-37.7434841,142.0286309
BAIRNSDALE,57 MAIN STREET,VIC,3875,03-5152 3428,NO,YES,YES,YES,NO,NO,NO,NO,NO,-37.82591952,147.6350582
HORSHAM,129 BAILLIE & URQUHART STREETS,VIC,3400,03-5382 6133,NO,NO,YES,YES,YES,NO,YES,NO,NO,-36.71173372,142.2021664
EDENHOPE,HORSHAM ROAD,VIC,3318,03-5585  1303,NO,YES,YES,NO,NO,NO,NO,NO,NO,-37.15793445,141.5974461
ARARAT,44 LAMBERT STREET,VIC,3377,03 5352 5566,NO,YES,YES,YES,NO,NO,YES,NO,NO,-37.27816632,142.9254336
DAYLESFORD,MIDLAND HWY,VIC,3460,03-5348 3167,NO,NO,YES,NO,NO,NO,NO,NO,NO,-36.99950987,144.2604774
CLUNES,7 SERVICE STREET,VIC,3370,03-5345 3139,NO,NO,YES,YES,NO,NO,NO,NO,NO,-37.29508277,143.7865691
WARRACKNABEAL,170 SCOTT STREET (CNR SCOTT & LYLE ),VIC,3393,03-5398 1122,NO,NO,YES,YES,NO,NO,NO,NO,NO,-37.47130617,144.7851562
NHILL,WESTERN HWY,VIC,3418,03-5391 1439,NO,NO,YES,YES,NO,NO,YES,YES,NO,-37.10703005,142.8054556
ST ARNAUD,1 MELBOURNE ROAD,VIC,3393,03-5495 1685,NO,NO,YES,YES,NO,NO,YES,NO,NO,-37.86422775,144.8988641
BAIRNSDALE,208 MCLEOD STREET,VIC,3844,03-5152 4340,NO,NO,YES,NO,NO,NO,NO,NO,NO,-37.59904827,141.6868807
